ts,occ
0.0,0.0
1.2414085617016224,1.0
1.2597945641618393,2.0
1.3698187526385153,3.0
1.3824487378564045,2.0
1.598756524803707,1.0
1.6246763492074754,2.0
1.6811198735907131,3.0
1.7486124533627219,2.0
2.020824386772511,3.0
2.108803564689579,4.0
2.293678626056912,5.0
2.3310546734558564,6.0
2.3463250652369734,7.0
2.3555373144297826,8.0
2.416081957759037,7.0
2.4444948829201474,6.0
2.4672327256489712,5.0
2.471400141698254,4.0
2.631783633839124,3.0
2.6728457934490137,4.0
2.767161364332779,3.0
2.7814002854726887,4.0
2.8160864579621263,5.0
3.047617063083937,4.0
3.1060274321705004,3.0
3.130374380558565,2.0
3.2366067196232904,1.0
3.3296968369257733,2.0
3.4427274970013078,3.0
3.5573801387511135,4.0
3.5867354173314556,5.0
3.620634791537679,6.0
3.8481637962274737,7.0
4.019365107968891,6.0
4.019365107968891,7.0
4.070044539577482,6.0
4.070044539577482,7.0
4.124216630151417,6.0
4.25259043416012,5.0
4.29803898361614,4.0
4.349363024800965,5.0
4.494725380638901,4.0
4.548593045090463,5.0
4.555122809638779,4.0
4.610103995809906,3.0
4.647630339931377,2.0
4.66450556461985,1.0
4.711667261312688,2.0
5.002285673730933,3.0
5.051620965748991,4.0
5.077343722160838,3.0
5.1182817134390275,2.0
5.2096201289059545,1.0
5.329558178713738,2.0
5.412618398226765,3.0
5.43108100531304,2.0
5.6015275313892925,3.0
5.613058421182288,2.0
5.71884742020844,3.0
5.792676579556014,2.0
5.805686696275675,3.0
5.944395646440588,2.0
6.0182225465456,1.0
6.077970599395857,2.0
6.2377870852468185,1.0
6.827026969195273,2.0
6.8288832967387085,3.0
6.95451235325188,4.0
6.976782001650811,3.0
7.093112475251168,4.0
7.194264754874163,5.0
7.2125892901223665,4.0
7.338832939849956,3.0
7.381428158887494,4.0
7.4103631077250744,5.0
7.5608991251270306,4.0
7.5608991251270306,5.0
7.689812526878564,4.0
7.689812526878564,5.0
7.713371920972584,4.0
7.713371920972584,5.0
7.753232795602334,4.0
7.7856691107458325,3.0
8.02926577719407,4.0
8.08518661875765,5.0
8.208019277451262,4.0
8.29555684279795,3.0
8.300658786629807,4.0
8.511104501317243,5.0
8.555661289775069,4.0
8.555661289775069,5.0
8.570440726688913,4.0
8.578179713723694,5.0
8.688761057967888,4.0
8.83025273087631,5.0
8.854856040170498,4.0
8.87090513491405,3.0
8.92932834017205,2.0
8.950801667827783,3.0
8.996492173837082,2.0
8.996745384391506,1.0
9.055793154910367,2.0
9.163763921195523,1.0
9.24132872649478,0.0
9.44247562846862,1.0
9.580505840872354,0.0
9.70444305006203,1.0
9.793972797693037,2.0
9.866479236634401,3.0
9.924336506295479,4.0
10.007695940278735,3.0
10.057583251033424,4.0
10.112493422927795,3.0
10.14064210262538,4.0
10.243220038810458,3.0
10.48308637034962,4.0
10.489869854687537,3.0
10.551771504752615,4.0
10.593692306614603,3.0
10.618243599935942,2.0
10.706883119015512,1.0
10.812741287039977,2.0
10.83252696383566,3.0
10.980733545387627,2.0
10.994230677993114,1.0
11.04892295800384,2.0
11.154040647864012,1.0
11.235916843780187,2.0
11.287456725052541,3.0
11.441093207240762,4.0
11.486870302330814,5.0
11.58947481357943,4.0
11.639181203008384,5.0
11.94798120997488,6.0
11.965876393019355,5.0
11.965876393019355,6.0
11.99536345100615,5.0
12.047408350946094,4.0
12.065041239694395,3.0
12.43949477610893,2.0
12.466054217497241,3.0
12.504001444167804,2.0
12.518368373606334,3.0
12.600242345116007,4.0
12.618635086364893,3.0
12.666249295530967,2.0
12.679865281573951,3.0
12.686947404708778,4.0
12.705168329640523,3.0
12.858604417578086,2.0
12.890378420075068,3.0
12.901005684736704,2.0
13.0877048924816,3.0
13.315259020639962,4.0
13.33132415951711,3.0
13.356088659249897,2.0
13.457326830930525,1.0
13.65897238214592,2.0
13.761011995103317,1.0
13.761364521831066,0.0
14.425283400964787,1.0
14.543918930818924,2.0
14.62763515833834,1.0
14.641614561778198,2.0
14.780551854110353,1.0
14.846137181934392,2.0
15.093519284846792,3.0
15.100665543442823,4.0
15.161156146054696,3.0
15.27141055292801,4.0
15.28551978546521,3.0
15.303345699202048,2.0
15.322890907482778,3.0
15.361037354284607,2.0
15.365338706022754,3.0
15.421525197228027,4.0
15.428259944474132,3.0
15.488320097982854,4.0
15.539085997745724,5.0
15.655675280737572,4.0
15.772851148713722,5.0
15.778881276946748,4.0
15.832935362556034,3.0
15.923014760426996,4.0
16.000797345751497,5.0
16.071823544804058,4.0
16.11040861252328,5.0
16.222953130556807,4.0
16.386477835275315,5.0
16.46605198047696,4.0
16.538558890749474,3.0
16.5870980572014,2.0
16.716784017318282,3.0
16.717329737399954,4.0
16.77316393440338,5.0
16.82647238265084,4.0
16.899705057422786,3.0
16.961106390473976,4.0
16.993440758054728,5.0
17.016759941075843,6.0
17.173717459199963,5.0
17.183735233481055,4.0
17.224661727548565,5.0
17.243035475088554,6.0
17.338006382191324,5.0
17.348556080886933,6.0
17.415157754009012,5.0
17.49601682028777,4.0
17.500298958305926,5.0
17.560401774056444,6.0
17.581030014137138,5.0
17.61221962663593,4.0
17.70421186868647,3.0
17.76161458979377,2.0
17.94051381459373,3.0
18.075375055679306,2.0
18.117520898263646,1.0
18.25709699305618,2.0
18.317385682493477,1.0
18.321308002717675,2.0
18.33799522228838,3.0
18.380323542117626,2.0
18.41229448320012,1.0
18.419580282768184,2.0
18.44059858671725,3.0
18.517426077205183,2.0
18.575371852647653,3.0
18.58166500911678,4.0
18.60945746273452,3.0
18.68372584157645,4.0
18.71533581765908,5.0
18.74022842047115,4.0
18.81337583486111,5.0
18.866156117841705,6.0
18.988624446156557,5.0
18.989386228959027,6.0
19.017811319685343,7.0
19.022191575927085,6.0
19.03014437654916,5.0
19.076453740134802,6.0
19.07828084149357,5.0
19.104061341796182,4.0
19.15577997493998,5.0
19.16610696436445,6.0
19.322188120730196,5.0
19.324817318323912,4.0
19.382411821316005,5.0
19.40158689016569,4.0
19.46666032469483,5.0
19.514914753319392,6.0
19.57561160957953,7.0
19.629665477588375,6.0
19.6431573984119,5.0
19.646471240045063,6.0
19.66701019111402,5.0
19.715807379505414,6.0
19.776767467414235,5.0
19.80824299911996,6.0
19.830719026039862,5.0
19.83637210784647,4.0
19.844128955967786,5.0
19.898839085221905,4.0
20.09490862638518,3.0
20.169516282336563,4.0
20.176638590171436,3.0
20.192048276387247,2.0
20.207956628340657,1.0
20.31581227098993,2.0
20.4210499307971,3.0
20.43811566027686,4.0
20.465101623129936,5.0
20.508948308427176,4.0
20.664313935105504,5.0
20.664547233257178,6.0
20.743898340826124,5.0
20.751637282775214,4.0
20.752204779692416,5.0
20.76620713812861,4.0
21.014301635897823,5.0
21.05262657822945,6.0
