traveler_id,arrival_ts,got_passport_reviewer_ts,release_passport_reviewer_ts,got_prescreen_help_ts,release_prescreen_help_ts,got_xray_reviewer_ts,release_xray_reviewer_ts,got_bag_xray_reviewer_ts,release_bag_xray_reviewer_ts,got_add_xray_reviewer_ts,release_add_xray_reviewer_ts,got_add_bag_xray_reviewer_ts,release_add_bag_xray_reviewer_ts,last_screening_finish,exit_system_ts
3,0.19950699568885077,0.19950699568885077,1.0179511232149134,1.0179511232149134,1.2414085617016224,1.2414085617016224,1.3824487378564045,1.2414085617016224,1.6979708221166225,,,,,1.6979708221166225,2.3857899298929044
5,0.3816181227348694,0.3816181227348694,1.847025871301098,1.847025871301098,2.020824386772511,2.020824386772511,2.4672327256489712,2.020824386772511,2.1412205523849077,,,,,2.4672327256489712,3.1680613938583235
2,0.1695415934341906,0.1695415934341906,1.0906438908285438,1.0906438908285438,1.3698187526385153,1.3698187526385153,1.7486124533627219,1.3698187526385153,2.612658311184291,,,,,2.612658311184291,3.335755638843998
11,0.943364237361202,1.055319889908334,1.528714901800733,1.528714901800733,1.6246763492074754,1.6246763492074754,2.471400141698254,1.6246763492074754,2.4695663250664484,,,,,2.471400141698254,3.387238638271874
10,0.8683176774246781,1.0179511232149134,2.030585561735742,2.030585561735742,2.108803564689579,2.108803564689579,2.4444948829201474,2.108803564689579,2.5745718840225056,,,,,2.5745718840225056,3.662731830441092
4,0.333704356549281,0.333704356549281,1.055319889908334,1.055319889908334,1.2597945641618393,1.2597945641618393,1.598756524803707,1.2597945641618393,1.9632725019041835,,,,,1.9632725019041835,3.8018796888441835
13,1.3663815929198269,1.52154988422966,2.2348923368551654,2.293678626056912,2.3555373144297826,2.3555373144297826,3.1060274321705004,2.3555373144297826,2.5459160604368587,,,,,3.1060274321705004,3.825659476093666
7,0.5909419135058825,0.5909419135058825,1.5261013461844377,1.5261013461844377,1.6811198735907131,1.6811198735907131,3.2366067196232904,1.6811198735907131,1.9173468188745144,,,,,3.2366067196232904,3.9791400330669635
6,0.43019514872756054,0.43019514872756054,1.52154988422966,1.52154988422966,2.3310546734558564,2.3310546734558564,2.416081957759037,2.3310546734558564,3.4132126537340506,,,,,3.4132126537340506,4.254419228306
9,0.6789995734410343,1.0062068944388405,2.1582042499361607,2.1582042499361607,2.293678626056912,2.293678626056912,2.631783633839124,2.293678626056912,3.490316109985419,,,,,3.490316109985419,4.284077290086821
15,1.469812437090416,1.528714901800733,2.7808729035373254,2.7808729035373254,2.7814002854726887,2.7814002854726887,3.130374380558565,2.7814002854726887,3.5966948402507652,,,,,3.5966948402507652,4.430664123968264
18,1.8899671067457253,2.030585561735742,3.1810265884246953,3.3296968369257733,3.4427274970013078,3.4427274970013078,4.124216630151417,3.4427274970013078,4.167693434526672,,,,,4.167693434526672,4.781899972692951
24,2.2638336435402184,2.7808729035373254,3.777582247516797,3.8481637962274737,4.017983533499912,4.019365107968891,4.25259043416012,4.017983533499912,4.0360318873997105,,,,,4.25259043416012,5.050374852832609
19,1.9151565327349314,2.1582042499361607,3.3033597295470027,3.4427274970013078,3.620634791537679,3.620634791537679,4.647630339931377,3.620634791537679,3.7626616197721567,,,,,4.647630339931377,5.436000566729379
16,1.5878549598648195,1.7339378215184995,2.562660802029152,2.562660802029152,3.5573801387511135,3.5573801387511135,4.66450556461985,3.5573801387511135,3.618517271185684,,,,,4.66450556461985,5.516782564534492
8,0.6784379411613862,0.6784379411613862,1.7339378215184995,1.7339378215184995,2.3463250652369734,2.3463250652369734,3.047617063083937,2.3463250652369734,3.363836524770598,,,,,3.363836524770598,5.543858684715055
