ts,occ
0.0,0.0
1.7421057991154774,1.0
1.7544611583215621,2.0
2.407419438750035,3.0
2.5820299276386653,4.0
2.632131637819676,3.0
2.7187477089836447,4.0
2.9326567277595266,5.0
2.9407227014063486,6.0
3.075809149014175,7.0
3.1186028177879477,8.0
3.407804192715868,9.0
3.451098642250069,8.0
3.545687387835061,7.0
3.5950917383627705,8.0
3.6148745965253637,9.0
3.616027210091054,8.0
3.6628378363109735,9.0
3.679739950222518,8.0
4.013634713238692,9.0
4.024750046681091,8.0
4.043783505812817,9.0
4.144320721878047,10.0
4.211117469013272,11.0
4.306137814014051,12.0
4.320314850702095,11.0
4.553603561913625,10.0
4.689077714048702,9.0
4.738038643534287,8.0
4.782054401240465,7.0
4.807394938100272,6.0
4.927996041080041,7.0
4.955360731905865,8.0
5.089397670222264,9.0
5.100418238065909,8.0
5.115956589995681,9.0
5.235700587540215,10.0
5.327098260617666,9.0
5.473830625362774,10.0
5.54202468942757,9.0
5.579535080235284,10.0
5.693885002944002,9.0
5.960652787573736,8.0
6.016056176895269,7.0
6.126701451292211,6.0
6.127050827548678,5.0
6.188179501958329,6.0
6.237107612327529,5.0
6.311795576359599,6.0
6.355533008750372,7.0
6.675818690522507,8.0
7.294922183606492,9.0
7.437407161895373,10.0
7.530531412068241,11.0
7.702253275167429,12.0
7.850244789498239,13.0
7.913247967356235,14.0
7.948073085533088,13.0
7.949612026404436,12.0
8.012272472474963,11.0
8.047937515588371,12.0
8.091218443628277,11.0
8.129272776494624,10.0
8.166035175544604,9.0
8.325593283962434,10.0
8.326853925208576,9.0
8.410667033454368,8.0
8.44359618958634,9.0
8.519188485229446,8.0
8.712102142936928,7.0
8.712631459712194,8.0
8.734764697974207,9.0
8.897077901699229,10.0
8.929938334143332,11.0
8.956101542506872,10.0
9.02469959832036,11.0
9.063815057884561,10.0
9.12099479055901,11.0
9.202512646846554,12.0
9.368920065888995,11.0
9.445790307964833,10.0
9.557737353391564,9.0
9.612290972002766,10.0
9.619231384371135,9.0
9.636221471240722,10.0
9.725395160957113,11.0
9.79511997542494,10.0
9.875355643058228,11.0
9.949777808048964,12.0
9.99752292862,11.0
10.353618668939346,12.0
10.375651785548335,13.0
10.471651147300504,12.0
10.54693689329093,11.0
10.610225930341713,12.0
10.628424302808673,11.0
10.739604475216764,10.0
10.794219416722461,9.0
10.866170638068635,8.0
10.87763621806961,7.0
10.972913550882327,8.0
11.081085163961726,7.0
11.125568874314911,6.0
11.201542171350505,5.0
11.231754581686785,6.0
